time,co2
3/29/1958,316.1
4/5/1958,317.3
4/12/1958,317.6
4/19/1958,317.5
4/26/1958,316.4
5/3/1958,316.9
5/10/1958,
5/17/1958,317.5
5/24/1958,317.9
5/31/1958,
6/7/1958,
6/14/1958,
6/21/1958,
6/28/1958,
7/5/1958,315.8
7/12/1958,315.8
7/19/1958,315.4
7/26/1958,315.5
8/2/1958,315.6
8/9/1958,315.1
8/16/1958,315
8/23/1958,
8/30/1958,314.1
9/6/1958,313.5
9/13/1958,
9/20/1958,
9/27/1958,
10/4/1958,
10/11/1958,
10/18/1958,
10/25/1958,
11/1/1958,
11/8/1958,313
11/15/1958,313.2
11/22/1958,313.5
11/29/1958,314
12/6/1958,314.5
12/13/1958,314.4
12/20/1958,314.7
12/27/1958,315.2
1/3/1959,315.2
1/10/1959,315.5
1/17/1959,315.6
1/24/1959,315.8
1/31/1959,315.4
2/7/1959,
2/14/1959,316.9
2/21/1959,316.6
2/28/1959,316.6
3/7/1959,316.8
3/14/1959,
3/21/1959,316.7
3/28/1959,316.7
4/4/1959,317.7
4/11/1959,317.1
4/18/1959,317.6
4/25/1959,318.3
5/2/1959,318.2
5/9/1959,318.7
5/16/1959,318
5/23/1959,318.4
5/30/1959,
6/6/1959,318.5
6/13/1959,318.1
6/20/1959,317.8
6/27/1959,317.7
7/4/1959,316.8
7/11/1959,316.8
7/18/1959,316.4
7/25/1959,316.1
8/1/1959,315.6
8/8/1959,314.9
8/15/1959,
8/22/1959,315
8/29/1959,314.1
9/5/1959,314.4
9/12/1959,313.9
9/19/1959,313.5
9/26/1959,313.5
10/3/1959,313
10/10/1959,313.1
10/17/1959,313.4
10/24/1959,313.4
10/31/1959,314.1
11/7/1959,314.4
11/14/1959,314.8
11/21/1959,315.2
11/28/1959,315.1
12/5/1959,315
12/12/1959,315.6
12/19/1959,315.8
12/26/1959,315.7
1/2/1960,315.7
1/9/1960,316.4
1/16/1960,316.7
1/23/1960,316.5
1/30/1960,316.6
2/6/1960,316.6
2/13/1960,316.9
2/20/1960,317.4
2/27/1960,317
3/5/1960,316.9
3/12/1960,317.7
3/19/1960,318
3/26/1960,317.7
4/2/1960,318.6
4/9/1960,319.3
4/16/1960,319
4/23/1960,319
4/30/1960,319.7
5/7/1960,319.9
5/14/1960,319.8
5/21/1960,320
5/28/1960,320
6/4/1960,319.4
6/11/1960,320
6/18/1960,319.4
6/25/1960,319
7/2/1960,318.1
7/9/1960,318.6
7/16/1960,318.4
7/23/1960,317.9
7/30/1960,317.3
8/6/1960,316.6
8/13/1960,316.7
8/20/1960,315.1
8/27/1960,314.7
9/3/1960,314.7
9/10/1960,314.5
9/17/1960,314.2
9/24/1960,313.3
10/1/1960,313.6
10/8/1960,313.3
10/15/1960,313.9
10/22/1960,314.2
10/29/1960,314.2
11/5/1960,314.5
11/12/1960,315.1
11/19/1960,315.1
11/26/1960,315.4
12/3/1960,315.8
12/10/1960,316
12/17/1960,316.2
12/24/1960,316.4
12/31/1960,316.6
1/7/1961,316.7
1/14/1961,317
1/21/1961,317
1/28/1961,317
2/4/1961,317
2/11/1961,317.7
2/18/1961,317.9
2/25/1961,318
3/4/1961,318
3/11/1961,318.5
3/18/1961,318.9
3/25/1961,318.7
4/1/1961,319.4
4/8/1961,319.5
4/15/1961,318.9
4/22/1961,319.7
4/29/1961,319.6
5/6/1961,320.6
5/13/1961,320.4
5/20/1961,320.6
5/27/1961,320.3
6/3/1961,320
6/10/1961,320
6/17/1961,319.6
6/24/1961,319.4
7/1/1961,319.2
7/8/1961,319
7/15/1961,318.4
7/22/1961,317.1
7/29/1961,317.9
8/5/1961,317.9
8/12/1961,317.3
8/19/1961,316.7
8/26/1961,315.2
9/2/1961,315.2
9/9/1961,314.9
9/16/1961,314.5
9/23/1961,315
9/30/1961,315.6
10/7/1961,314.9
10/14/1961,315.4
10/21/1961,315.4
10/28/1961,315.7
11/4/1961,315.8
11/11/1961,315.7
11/18/1961,316.2
11/25/1961,316.5
12/2/1961,316.5
12/9/1961,317
12/16/1961,316.9
12/23/1961,317.1
12/30/1961,317.4
1/6/1962,317.9
1/13/1962,318.1
1/20/1962,318
1/27/1962,317.7
2/3/1962,318
2/10/1962,318.3
2/17/1962,318.9
2/24/1962,319.3
3/3/1962,319.2
3/10/1962,319.4
3/17/1962,319.9
3/24/1962,319.7
3/31/1962,320.2
4/7/1962,320.2
4/14/1962,321
4/21/1962,320.7
4/28/1962,320.3
5/5/1962,320.8
5/12/1962,320.7
5/19/1962,321
5/26/1962,321.1
6/2/1962,320.9
6/9/1962,320.8
6/16/1962,320.5
6/23/1962,320.1
6/30/1962,320.2
7/7/1962,320.1
7/14/1962,319.9
7/21/1962,319
7/28/1962,318.7
8/4/1962,318.6
8/11/1962,317.2
8/18/1962,317.4
8/25/1962,
9/1/1962,
9/8/1962,
9/15/1962,316.6
9/22/1962,315.7
9/29/1962,315.9
10/6/1962,315.1
10/13/1962,315.4
10/20/1962,315.7
10/27/1962,315.7
11/3/1962,315.9
11/10/1962,316.4
11/17/1962,316.9
11/24/1962,317
12/1/1962,317.1
12/8/1962,317.3
12/15/1962,317.6
12/22/1962,318.1
12/29/1962,
1/5/1963,318.5
1/12/1963,318.7
1/19/1963,318.9
1/26/1963,318.8
2/2/1963,318.7
2/9/1963,318.9
2/16/1963,
2/23/1963,319.3
3/2/1963,319.3
3/9/1963,319.7
3/16/1963,319.8
3/23/1963,320.3
3/30/1963,320.2
4/6/1963,320.3
4/13/1963,320.9
4/20/1963,322
4/27/1963,321.9
5/4/1963,
5/11/1963,321.9
5/18/1963,322.2
5/25/1963,322.2
6/1/1963,322.3
6/8/1963,322
6/15/1963,321.8
6/22/1963,320.8
6/29/1963,320.4
7/6/1963,320.1
7/13/1963,319.8
7/20/1963,319.5
7/27/1963,319
8/3/1963,318.6
8/10/1963,318.2
8/17/1963,317.7
8/24/1963,317.1
8/31/1963,316.4
9/7/1963,316.8
9/14/1963,315.9
9/21/1963,316
9/28/1963,315.9
10/5/1963,316.2
10/12/1963,315.6
10/19/1963,316.1
10/26/1963,316.3
11/2/1963,316.6
11/9/1963,316.8
11/16/1963,317.1
11/23/1963,
11/30/1963,317.5
12/7/1963,318
12/14/1963,318.2
12/21/1963,318.5
12/28/1963,318.7
1/4/1964,319
1/11/1964,319.4
1/18/1964,319.8
1/25/1964,
2/1/1964,
2/8/1964,
2/15/1964,
2/22/1964,
2/29/1964,
3/7/1964,
3/14/1964,
3/21/1964,
3/28/1964,
4/4/1964,
4/11/1964,
4/18/1964,
4/25/1964,
5/2/1964,
5/9/1964,
5/16/1964,
5/23/1964,
5/30/1964,322
6/6/1964,322
6/13/1964,
6/20/1964,
6/27/1964,321.5
7/4/1964,321.1
7/11/1964,319.9
7/18/1964,320.2
7/25/1964,320
8/1/1964,319.1
8/8/1964,
8/15/1964,318.6
8/22/1964,318.2
8/29/1964,318.1
9/5/1964,317.4
9/12/1964,316.5
9/19/1964,315.5
9/26/1964,317
10/3/1964,316.9
10/10/1964,316.5
10/17/1964,316.8
10/24/1964,317
10/31/1964,317.6
11/7/1964,317.7
11/14/1964,317.6
11/21/1964,317.5
11/28/1964,318.1
12/5/1964,318.4
12/12/1964,318.5
12/19/1964,318.9
12/26/1964,318.9
1/2/1965,319
1/9/1965,319.1
1/16/1965,319.1
1/23/1965,319.7
1/30/1965,320.1
2/6/1965,320.2
2/13/1965,320.1
2/20/1965,320.7
2/27/1965,320.8
3/6/1965,321
3/13/1965,320.9
3/20/1965,320.4
3/27/1965,321.4
4/3/1965,321.9
4/10/1965,322.2
4/17/1965,322.1
4/24/1965,321.8
5/1/1965,322.4
5/8/1965,322.2
5/15/1965,321.9
5/22/1965,321.6
5/29/1965,322.2
6/5/1965,321.8
6/12/1965,321.7
6/19/1965,321.7
6/26/1965,321.9
7/3/1965,321.9
7/10/1965,321.8
7/17/1965,321.7
7/24/1965,320.4
7/31/1965,319.4
8/7/1965,319.4
8/14/1965,318
8/21/1965,318.8
8/28/1965,318.7
9/4/1965,318.3
9/11/1965,318
9/18/1965,318.2
9/25/1965,316.8
10/2/1965,316.6
10/9/1965,317.2
10/16/1965,317.8
10/23/1965,317.5
10/30/1965,317.6
11/6/1965,318.3
11/13/1965,319.2
11/20/1965,318.9
11/27/1965,319.1
12/4/1965,319
12/11/1965,319.3
12/18/1965,319.3
12/25/1965,319.7
1/1/1966,319.6
1/8/1966,320.4
1/15/1966,320.6
1/22/1966,321
1/29/1966,321.1
2/5/1966,321.2
2/12/1966,321.7
2/19/1966,321.6
2/26/1966,321.8
3/5/1966,322.1
3/12/1966,322.1
3/19/1966,322.5
3/26/1966,322.8
4/2/1966,323.5
4/9/1966,323.6
4/16/1966,323.8
4/23/1966,323.9
4/30/1966,323.5
5/7/1966,324
5/14/1966,324.1
5/21/1966,323.7
5/28/1966,324.3
6/4/1966,324
6/11/1966,323.8
6/18/1966,323.7
6/25/1966,323.3
7/2/1966,322.8
7/9/1966,322.9
7/16/1966,
7/23/1966,
7/30/1966,
8/6/1966,321.3
8/13/1966,320.8
8/20/1966,319.1
8/27/1966,319.6
9/3/1966,319.9
9/10/1966,318.2
9/17/1966,318.4
9/24/1966,318.3
10/1/1966,317.9
10/8/1966,317.9
10/15/1966,318.2
10/22/1966,318.6
10/29/1966,318.3
11/5/1966,
11/12/1966,319.5
11/19/1966,320
11/26/1966,320.2
12/3/1966,320.8
12/10/1966,320.8
12/17/1966,321.1
12/24/1966,321.3
12/31/1966,321.3
1/7/1967,321.9
1/14/1967,322.9
1/21/1967,
1/28/1967,
2/4/1967,322.1
2/11/1967,322.2
2/18/1967,322.8
2/25/1967,322.6
3/4/1967,322.9
3/11/1967,322.6
3/18/1967,323.3
3/25/1967,323.2
4/1/1967,323.1
4/8/1967,324.2
4/15/1967,324.4
4/22/1967,324.6
4/29/1967,325.1
5/6/1967,325.2
5/13/1967,324.7
5/20/1967,325
5/27/1967,324.9
6/3/1967,324.9
6/10/1967,324.6
6/17/1967,323.3
6/24/1967,323.5
7/1/1967,322.8
7/8/1967,322.8
7/15/1967,322.4
7/22/1967,322.4
7/29/1967,322
8/5/1967,321.6
8/12/1967,321.4
8/19/1967,320.4
8/26/1967,320
9/2/1967,320
9/9/1967,319.4
9/16/1967,319.3
9/23/1967,319
9/30/1967,318.8
10/7/1967,318.8
10/14/1967,319.8
10/21/1967,319.4
10/28/1967,319.8
11/4/1967,320
11/11/1967,320.3
11/18/1967,320.9
11/25/1967,321.5
12/2/1967,321.4
12/9/1967,321.8
12/16/1967,322.2
12/23/1967,321.9
12/30/1967,322.3
1/6/1968,322.4
1/13/1968,322.5
1/20/1968,322.5
1/27/1968,322.8
2/3/1968,322.6
2/10/1968,323.1
2/17/1968,323.4
2/24/1968,323.1
3/2/1968,323.1
3/9/1968,323.8
3/16/1968,323.8
3/23/1968,324.2
3/30/1968,324.7
4/6/1968,324.7
4/13/1968,325
4/20/1968,324.8
4/27/1968,325.4
5/4/1968,325.6
5/11/1968,325
5/18/1968,325.5
5/25/1968,325.8
6/1/1968,325.6
6/8/1968,325.7
6/15/1968,325.5
6/22/1968,324.9
6/29/1968,324.6
7/6/1968,324.7
7/13/1968,324.1
7/20/1968,323.9
7/27/1968,323.4
8/3/1968,322.4
8/10/1968,322.2
8/17/1968,322
8/24/1968,321.7
8/31/1968,321.4
9/7/1968,320.4
9/14/1968,321.1
9/21/1968,319.7
9/28/1968,319.8
10/5/1968,320.5
10/12/1968,320.5
10/19/1968,320.2
10/26/1968,319.9
11/2/1968,320.7
11/9/1968,320.8
11/16/1968,321.4
11/23/1968,321.7
11/30/1968,322
12/7/1968,322.4
12/14/1968,322.9
12/21/1968,323.3
12/28/1968,323.1
1/4/1969,323.3
1/11/1969,324
1/18/1969,324.3
1/25/1969,324.1
2/1/1969,324.1
2/8/1969,323.9
2/15/1969,324.3
2/22/1969,324.8
3/1/1969,325.1
3/8/1969,325.5
3/15/1969,325.7
3/22/1969,325.9
3/29/1969,325.8
4/5/1969,326.2
4/12/1969,327.1
4/19/1969,326.5
4/26/1969,326.5
5/3/1969,327.5
5/10/1969,327.8
5/17/1969,326.8
5/24/1969,326.9
5/31/1969,327.4
6/7/1969,326.5
6/14/1969,326.7
6/21/1969,326.7
6/28/1969,326.3
7/5/1969,326.1
7/12/1969,326
7/19/1969,325.7
7/26/1969,325.4
8/2/1969,324.5
8/9/1969,324.5
8/16/1969,323.1
8/23/1969,322.5
8/30/1969,323.1
9/6/1969,322.2
9/13/1969,322.7
9/20/1969,322.8
9/27/1969,321.9
10/4/1969,321.5
10/11/1969,321.8
10/18/1969,322
10/25/1969,321.9
11/1/1969,322.2
11/8/1969,322.6
11/15/1969,322.7
11/22/1969,323.1
11/29/1969,323.5
12/6/1969,323.9
12/13/1969,323.9
12/20/1969,324.2
12/27/1969,324.5
1/3/1970,324.7
1/10/1970,325.4
1/17/1970,325
1/24/1970,324.8
1/31/1970,325.5
2/7/1970,325.7
2/14/1970,326
2/21/1970,326.3
2/28/1970,326.1
3/7/1970,326.8
3/14/1970,326.8
3/21/1970,327.5
3/28/1970,326.9
4/4/1970,328.2
4/11/1970,327.8
4/18/1970,327.8
4/25/1970,328.5
5/2/1970,327.9
5/9/1970,327.5
5/16/1970,328
5/23/1970,328.3
5/30/1970,327.9
6/6/1970,327.5
6/13/1970,327.8
6/20/1970,327.7
6/27/1970,327.2
7/4/1970,327.2
7/11/1970,326.2
7/18/1970,326.2
7/25/1970,325.6
8/1/1970,325.2
8/8/1970,325.2
8/15/1970,324.8
8/22/1970,324.8
8/29/1970,323.3
9/5/1970,322.9
9/12/1970,323.5
9/19/1970,323.1
9/26/1970,323.1
10/3/1970,323.2
10/10/1970,323.5
10/17/1970,322.9
10/24/1970,323
10/31/1970,323.1
11/7/1970,323.6
11/14/1970,323.7
11/21/1970,324.2
11/28/1970,324.7
12/5/1970,324.7
12/12/1970,325
12/19/1970,325.2
12/26/1970,325.5
1/2/1971,325.7
1/9/1971,325.8
1/16/1971,325.9
1/23/1971,326.7
1/30/1971,326.6
2/6/1971,326.5
2/13/1971,326.4
2/20/1971,326.7
2/27/1971,327
3/6/1971,327.1
3/13/1971,327.3
3/20/1971,327
3/27/1971,327.4
4/3/1971,327.4
4/10/1971,327.1
4/17/1971,327.7
4/24/1971,328.5
5/1/1971,328.2
5/8/1971,329
5/15/1971,329.2
5/22/1971,328.9
5/29/1971,328.8
6/5/1971,328.5
6/12/1971,328.8
6/19/1971,328.1
6/26/1971,328.5
7/3/1971,327.9
7/10/1971,327.8
7/17/1971,327.5
7/24/1971,326.2
7/31/1971,326.7
8/7/1971,326.1
8/14/1971,325.6
8/21/1971,325.3
8/28/1971,324
9/4/1971,323.6
9/11/1971,323.5
9/18/1971,323.2
9/25/1971,323.3
10/2/1971,323.3
10/9/1971,322.9
10/16/1971,323.5
10/23/1971,323.6
10/30/1971,324.4
11/6/1971,324.3
11/13/1971,324.5
11/20/1971,325
11/27/1971,325.5
12/4/1971,325.3
12/11/1971,325.9
12/18/1971,326.2
12/25/1971,326.3
1/1/1972,326.6
1/8/1972,326.6
1/15/1972,326.6
1/22/1972,326.6
1/29/1972,327.2
2/5/1972,327.4
2/12/1972,327.9
2/19/1972,327.8
2/26/1972,327.4
3/4/1972,327.5
3/11/1972,327.1
3/18/1972,327.7
3/25/1972,328.6
4/1/1972,328.9
4/8/1972,329.4
4/15/1972,329.8
4/22/1972,330.1
4/29/1972,330
5/6/1972,330
5/13/1972,329.7
5/20/1972,330.1
5/27/1972,330.2
6/3/1972,329.7
6/10/1972,329.1
6/17/1972,329
6/24/1972,328.5
7/1/1972,328.6
7/8/1972,328.3
7/15/1972,327.7
7/22/1972,328.1
7/29/1972,327.5
8/5/1972,326.9
8/12/1972,326.6
8/19/1972,326.5
8/26/1972,325
9/2/1972,325.4
9/9/1972,325.7
9/16/1972,324.8
9/23/1972,324.2
9/30/1972,324.2
10/7/1972,324.8
10/14/1972,325.5
10/21/1972,325.1
10/28/1972,325.8
11/4/1972,326.3
11/11/1972,326.1
11/18/1972,326.4
11/25/1972,326.9
12/2/1972,326.9
12/9/1972,327.1
12/16/1972,327.6
12/23/1972,327.9
12/30/1972,328.2
1/6/1973,328.4
1/13/1973,328.4
1/20/1973,328.6
1/27/1973,328.8
2/3/1973,329.1
2/10/1973,329.5
2/17/1973,329.6
2/24/1973,329.7
3/3/1973,329.9
3/10/1973,330.1
3/17/1973,330.5
3/24/1973,330.8
3/31/1973,330.6
4/7/1973,331.2
4/14/1973,331.1
4/21/1973,331.9
4/28/1973,332.1
5/5/1973,332.2
5/12/1973,332.3
5/19/1973,332.6
5/26/1973,332.5
6/2/1973,332.2
6/9/1973,332.5
6/16/1973,332
6/23/1973,331.6
6/30/1973,331.4
7/7/1973,331.5
7/14/1973,331
7/21/1973,330
7/28/1973,330.1
8/4/1973,330
8/11/1973,329.5
8/18/1973,329.3
8/25/1973,328.5
9/1/1973,328.4
9/8/1973,327.6
9/15/1973,327.8
9/22/1973,327.1
9/29/1973,326.6
10/6/1973,327
10/13/1973,327.4
10/20/1973,327.4
10/27/1973,327.1
11/3/1973,327.5
11/10/1973,328
11/17/1973,328.2
11/24/1973,328.5
12/1/1973,329
12/8/1973,328.7
12/15/1973,328.6
12/22/1973,328.2
12/29/1973,328.7
1/5/1974,328.9
1/12/1974,329.2
1/19/1974,329.4
1/26/1974,329.8
2/2/1974,330.5
2/9/1974,330.8
2/16/1974,330.6
2/23/1974,330.6
3/2/1974,330.7
3/9/1974,331.2
3/16/1974,332.1
3/23/1974,332
3/30/1974,331.5
4/6/1974,332.4
4/13/1974,332.1
4/20/1974,332.9
4/27/1974,333.1
5/4/1974,332.9
5/11/1974,333
5/18/1974,333.2
5/25/1974,332.8
6/1/1974,332.9
6/8/1974,332
6/15/1974,332
6/22/1974,332.2
6/29/1974,331.7
7/6/1974,331.7
7/13/1974,331.2
7/20/1974,330.4
7/27/1974,331
8/3/1974,330
8/10/1974,329.9
8/17/1974,329.2
8/24/1974,328.9
8/31/1974,328.1
9/7/1974,328
9/14/1974,327.3
9/21/1974,326.9
9/28/1974,327.3
10/5/1974,327.3
10/12/1974,327
10/19/1974,327.5
10/26/1974,327.7
11/2/1974,327.9
11/9/1974,328
11/16/1974,328.8
11/23/1974,328.6
11/30/1974,328.7
12/7/1974,329.5
12/14/1974,329.7
12/21/1974,329.8
12/28/1974,329.7
1/4/1975,329.9
1/11/1975,329.8
1/18/1975,330.2
1/25/1975,331.1
2/1/1975,331.1
2/8/1975,331.4
2/15/1975,331
2/22/1975,331.7
3/1/1975,331.8
3/8/1975,331.6
3/15/1975,331.9
3/22/1975,332.2
3/29/1975,332.5
4/5/1975,333
4/12/1975,333.5
4/19/1975,333.5
4/26/1975,333.1
5/3/1975,333.9
5/10/1975,333.9
5/17/1975,333.7
5/24/1975,333.7
5/31/1975,334.1
6/7/1975,333.8
6/14/1975,333.3
6/21/1975,333.4
6/28/1975,333.1
7/5/1975,332.7
7/12/1975,332
7/19/1975,331
7/26/1975,331.5
8/2/1975,330.8
8/9/1975,330.7
8/16/1975,330.3
8/23/1975,329.3
8/30/1975,328.8
9/6/1975,329.4
9/13/1975,328.5
9/20/1975,328
9/27/1975,328.2
10/4/1975,328
10/11/1975,328
10/18/1975,328.5
10/25/1975,328.8
11/1/1975,329.3
11/8/1975,329.2
11/15/1975,329.1
11/22/1975,329.5
11/29/1975,330.1
12/6/1975,330.3
12/13/1975,330.5
12/20/1975,331.1
12/27/1975,331.2
1/3/1976,331.5
1/10/1976,331.5
1/17/1976,331.7
1/24/1976,331.8
1/31/1976,332.2
2/7/1976,332.1
2/14/1976,332.5
2/21/1976,333.2
2/28/1976,332.4
3/6/1976,332.8
3/13/1976,333.6
3/20/1976,333.1
3/27/1976,334.3
4/3/1976,334.7
4/10/1976,334.2
4/17/1976,334.4
4/24/1976,334.5
5/1/1976,334.7
5/8/1976,334.3
5/15/1976,334.6
5/22/1976,335.4
5/29/1976,334.8
6/5/1976,334.3
6/12/1976,334.6
6/19/1976,334.3
6/26/1976,
7/3/1976,333.6
7/10/1976,333.4
7/17/1976,332.8
7/24/1976,332.4
7/31/1976,332.1
8/7/1976,331.7
8/14/1976,330.6
8/21/1976,330.6
8/28/1976,330
9/4/1976,329.7
9/11/1976,330
9/18/1976,329.3
9/25/1976,328.4
10/2/1976,328.8
10/9/1976,329
10/16/1976,329.6
10/23/1976,329.1
10/30/1976,329
11/6/1976,329.8
11/13/1976,330.4
11/20/1976,330.5
11/27/1976,330.7
12/4/1976,331.1
12/11/1976,331.3
12/18/1976,331.9
12/25/1976,332.2
1/1/1977,332.5
1/8/1977,332.4
1/15/1977,333.1
1/22/1977,333.2
1/29/1977,333.2
2/5/1977,333.4
2/12/1977,333.3
2/19/1977,333.4
2/26/1977,333.6
3/5/1977,334.1
3/12/1977,334.6
3/19/1977,335.1
3/26/1977,335
4/2/1977,335.5
4/9/1977,335.9
4/16/1977,336
4/23/1977,336.1
4/30/1977,336.7
5/7/1977,336.8
5/14/1977,336.4
5/21/1977,336.8
5/28/1977,336.7
6/4/1977,336.4
6/11/1977,336.3
6/18/1977,336.1
6/25/1977,336
7/2/1977,335.5
7/9/1977,335.1
7/16/1977,335.1
7/23/1977,334.6
7/30/1977,333.7
8/6/1977,333
8/13/1977,332.9
8/20/1977,332.8
8/27/1977,332.8
9/3/1977,332.1
9/10/1977,331.2
9/17/1977,332.1
9/24/1977,330.9
10/1/1977,330.4
10/8/1977,330.9
10/15/1977,331.5
10/22/1977,331.5
10/29/1977,331.7
11/5/1977,332.1
11/12/1977,332
11/19/1977,332.5
11/26/1977,332.8
12/3/1977,333.2
12/10/1977,333.5
12/17/1977,333.8
12/24/1977,334.2
12/31/1977,334.6
1/7/1978,334.2
1/14/1978,334.6
1/21/1978,335.4
1/28/1978,335.9
2/4/1978,335
2/11/1978,335.1
2/18/1978,335.6
2/25/1978,335.7
3/4/1978,336.2
3/11/1978,336.1
3/18/1978,336.8
3/25/1978,337.3
4/1/1978,337
4/8/1978,337.9
4/15/1978,337.9
4/22/1978,337.4
4/29/1978,338
5/6/1978,338
5/13/1978,338.1
5/20/1978,337.8
5/27/1978,337.9
6/3/1978,338.4
6/10/1978,338.2
6/17/1978,337.8
6/24/1978,337.3
7/1/1978,337.6
7/8/1978,336.7
7/15/1978,336.7
7/22/1978,335.9
7/29/1978,335.6
8/5/1978,335.1
8/12/1978,334.8
8/19/1978,334.4
8/26/1978,334.3
9/2/1978,333.8
9/9/1978,332.8
9/16/1978,332.1
9/23/1978,332.3
9/30/1978,332.7
10/7/1978,332.1
10/14/1978,332.4
10/21/1978,333
10/28/1978,333.1
11/4/1978,333.5
11/11/1978,333.8
11/18/1978,333.8
11/25/1978,334.2
12/2/1978,334.5
12/9/1978,334.8
12/16/1978,335.1
12/23/1978,335.1
12/30/1978,335.3
1/6/1979,335.3
1/13/1979,335.9
1/20/1979,336.8
1/27/1979,336.9
2/3/1979,336.9
2/10/1979,336.5
2/17/1979,336.7
2/24/1979,336.7
3/3/1979,337.1
3/10/1979,337.7
3/17/1979,337.4
3/24/1979,339
3/31/1979,338.8
4/7/1979,338.1
4/14/1979,338.6
4/21/1979,339.2
4/28/1979,339.6
5/5/1979,339.3
5/12/1979,338.8
5/19/1979,339.8
5/26/1979,339.6
6/2/1979,339.9
6/9/1979,339.5
6/16/1979,338.9
6/23/1979,338.9
6/30/1979,339
7/7/1979,338.2
7/14/1979,337.8
7/21/1979,337.3
7/28/1979,336.8
8/4/1979,337
8/11/1979,336.5
8/18/1979,336.1
8/25/1979,334.5
9/1/1979,334.4
9/8/1979,334
9/15/1979,334.2
9/22/1979,333.2
9/29/1979,334.1
10/6/1979,334.1
10/13/1979,333.9
10/20/1979,333.7
10/27/1979,334.1
11/3/1979,334.7
11/10/1979,334.8
11/17/1979,335.5
11/24/1979,335.6
12/1/1979,335.9
12/8/1979,336.5
12/15/1979,336.7
12/22/1979,336.8
12/29/1979,337.4
1/5/1980,337.6
1/12/1980,337.4
1/19/1980,338.3
1/26/1980,338.4
2/2/1980,338
2/9/1980,338.1
2/16/1980,338.6
2/23/1980,338.2
3/1/1980,339.3
3/8/1980,339.5
3/15/1980,340
3/22/1980,340.5
3/29/1980,341
